folder_name,scientific_name,genus,family
001_quercus_acutissima,Quercus acutissima,Quercus,Fagaceae
002_quercus_variabilis,Quercus variabilis,Quercus,Fagaceae
003_quercus_serrata,Quercus serrata,Quercus,Fagaceae
004_quercus_mongolica,Quercus mongolica,Quercus,Fagaceae
005_quercus_robur,Quercus robur,Quercus,Fagaceae
006_quercus_rubra,Quercus rubra,Quercus,Fagaceae
007_acer_palmatum,Acer palmatum,Acer,Sapindaceae
008_acer_pictum,Acer pictum,Acer,Sapindaceae
009_acer_ginnala,Acer ginnala,Acer,Sapindaceae
010_acer_rubrum,Acer rubrum,Acer,Sapindaceae
011_acer_saccharum,Acer saccharum,Acer,Sapindaceae
012_acer_platanoides,Acer platanoides,Acer,Sapindaceae
013_zelkova_serrata,Zelkova serrata,Zelkova,Ulmaceae
014_ulmus_parvifolia,Ulmus parvifolia,Ulmus,Ulmaceae
015_ulmus_pumila,Ulmus pumila,Ulmus,Ulmaceae
016_celtis_sinensis,Celtis sinensis,Celtis,Cannabaceae
017_ulmus_americana,Ulmus americana,Ulmus,Ulmaceae
018_ulmus_glabra,Ulmus glabra,Ulmus,Ulmaceae
019_betula_pendula,Betula pendula,Betula,Betulaceae
020_betula_papyrifera,Betula papyrifera,Betula,Betulaceae
021_betula_nigra,Betula nigra,Betula,Betulaceae
022_betula_pubescens,Betula pubescens,Betula,Betulaceae
023_betula_alleghaniensis,Betula alleghaniensis,Betula,Betulaceae
024_betula_lenta,Betula lenta,Betula,Betulaceae
025_pinus_sylvestris,Pinus sylvestris,Pinus,Pinaceae
026_pinus_strobus,Pinus strobus,Pinus,Pinaceae
027_pinus_ponderosa,Pinus ponderosa,Pinus,Pinaceae
028_pinus_contorta,Pinus contorta,Pinus,Pinaceae
029_pinus_nigra,Pinus nigra,Pinus,Pinaceae
030_pinus_radiata,Pinus radiata,Pinus,Pinaceae
